Source,Title,URL,Annotation
Deadline,‘Hunger Games: Ballad Of Songbirds & Snakes’: Spotify A Key Partner In Country Music Infused Prequel,https://deadline.com/2023/11/hunger-games-songbirds-and-snakes-spotify-lionsgate-1235616087/,0
ComingSoon.net,Box Office Results: Hunger Games Prequel Rises to the Top as Marvels Sinks,https://www.comingsoon.net/movies/news/1407231-box-office-results-hunger-games-prequel-rises-to-the-top-as-marvels-sinks,2
/FILM,Can Apple's Napoleon Bring Ridley Scott And Joaquin Phoenix Box Office Glory?,https://www.slashfilm.com/1449948/can-napoleon-bring-ridley-scott-and-joaquin-phoenix-box-office-glory/,2
Biztoc.com,‘The Hunger Games: The Ballad of Songbirds and Snakes’ Review: Prequel Without a Purpose,https://biztoc.com/x/4cad6e889b2acf0e,5
IndieWire,Hunter Schafer Was ‘Mind-Blown’ Filming David Lowery’s ‘Mother Mary’,https://www.indiewire.com/news/general-news/hunter-schafer-teases-david-lowery-mother-mary-mind-blown-1234927045/,3
IndieWire,Ridley Scott Points Out He’s Made Four Films Since Martin Scorsese Started ‘Killers of the Flower Moon’,https://www.indiewire.com/news/general-news/ridley-scott-made-four-films-scorsese-killers-of-the-flower-moon-1234928029/,3
Bleeding Cool News,Imaginary: Chanucy Is 2024's New Horror Icon From New Blumhouse Film,https://bleedingcool.com/movies/lionsgate-blumhouse-imaginary-chauncy-trailer-tomorrow/,1
ComingSoon.net,Napoleon Box Office Prediction: Will It Flop or Succeed?,https://www.comingsoon.net/guides/news/1408312-napoleon-box-office-prediction-flop-succeed-apple-tv,2
[Removed],[Removed],https://removed.com,0
The A.V. Club,Dakota Johnson suits up as clairvoyant Madame Web in the movie's first trailer,https://www.avclub.com/dakota-johnson-suits-up-as-madame-webb-in-first-trailer-1851023751,7
IndieWire,Iman Vellani Shrugs Off ‘The Marvels’ Box Office Woes: ‘That’s for Bob Iger’,https://www.indiewire.com/news/general-news/iman-vellani-the-marvels-box-office-bob-iger-problem-1234927944/,2
IndieWire,‘Napoleon’ Review: Ridley Scott and Joaquin Phoenix Deliver a Film That Works Better as a Comedy Than a Historical Epic,https://www.indiewire.com/criticism/movies/napoleon-review-ridley-scott-joaquin-phoenix-1234926076/,5
The A.V. Club,Ridley Scott on Napoleon complaints from French critics: “the French don’t even like themselves”,https://www.avclub.com/ridley-scott-napoleon-french-critics-1851034530,5
Vanity Fair,Inside the Dystopian Appalachia Music of the ‘Hunger Games’ Prequel,https://www.vanityfair.com/hollywood/2023/11/inside-the-dystopian-appalachia-music-of-the-hunger-games-prequel,4
ComingSoon.net,Ballad of Songbirds & Snakes: Do I Need To Watch The Hunger Games Movies Before the Prequel?,https://www.comingsoon.net/guides/news/1406238-ballad-of-songbirds-and-snakes-watch-hunger-games-movies-before-understand,1
Deadline,‘Hunger Games: Ballad Of Songbirds & Snakes’ Looks To Sing $100M+ Worldwide Opening – Preview,https://deadline.com/2023/11/hunger-games-ballad-of-songbirds-and-snakes-box-office-opening-1235612652/,1
Forbes,Beyoncé's Concert Film Is Heading For An Impressive Box Office Debut,https://www.forbes.com/sites/hughmcintyre/2023/11/17/beyoncs-concert-film-is-heading-for-an-impressive-box-office-debut/,2
/FILM,Every Hunger Games Movie Ranked,https://www.slashfilm.com/1447737/every-hunger-games-movie-ranked/,5
Vulture,The Hunger Games Prequel May Sing to $50 Mil at Box Office,http://www.vulture.com/article/the-hunger-games-the-ballad-of-songbirds-and-snakes-box-office.html,2
IndieWire,Ridley Scott Isn’t Worried About ‘Napoleon’ Critics Because ‘the French Don’t Even Like Themselves’,https://www.indiewire.com/news/general-news/ridley-scott-napoleon-critics-the-french-dont-like-themselves-1234927923/,5
Al Jazeera English,Napoleon hat fetches record $2.1m at Paris auction,https://www.aljazeera.com/news/2023/11/19/napoleon-hat-fetches-record-2-1m-at-paris-auction,2
Vanity Fair,"Teen Dystopian Movies Ranked, From ‘The Hunger Games’ to ‘Divergent’",https://www.vanityfair.com/hollywood/2016/03/young-adult-dystopia-movies-ranking,5
Forbes,"The Ballad Of Songbirds And Snakes: Lowest ‘Hunter Games’ Critic Score, Highest Audience Score",https://www.forbes.com/sites/paultassi/2023/11/18/the-ballad-of-songbirds-and-snakes-lowest-hunter-games-critic-score-highest-audience-score/,2
Forbes,New ‘Hunger Games’ Prequel Faces Franchise’s Worst Average Reviews—Ahead Of Expected $50 Million Opening,https://www.forbes.com/sites/conormurray/2023/11/16/new-hunger-games-prequel-faces-franchises-worst-average-reviews-ahead-of-expected-50-million-opening/,2
/FILM,The Ballad Of Songbirds And Snakes Director Will Make Another Hunger Games Under One Condition,https://www.slashfilm.com/1449952/the-ballad-of-songbirds-and-snakes-director-make-another-hunger-games-under-one-condition/,4
The A.V. Club,Napoleon conquers Wish but gets exiled by the Hunger Games prequel,https://www.avclub.com/ballad-songbirds-snakes-napoleon-wish-box-office-1851048185,6
